X0,LUM_crop1,TMRM_crop1,LUM_crop2,TMRM_crop2,LUM_crop3,TMRM_crop3,LUM_crop4,TMRM_crop4
195,3703.1006,329.6932,3274.6052,543.7936,3666.6279,649.9185,3572.4575,453.9863
196,3699.626,317.3945,3300.2668,518.2159,3669.5298,586.2229,3564.4204,475.8098
197,3703.0034,321.6539,3277.395,519.7559,3660.1636,599.1202,3570.165,485.2986
198,3692.7405,340.7142,3277.3091,506.3747,3653.0784,583.2935,3559.6428,469.6425
199,3684.8306,321.5961,3260.3213,513.3047,3628.8091,624.2775,3557.1926,490.7143
200,3708.8328,330.3424,3272.1121,504.8404,3655.1091,621.8022,3558.7407,510.3446
201,3717.2451,338.4112,3279.4836,539.1774,3649.5881,604.6093,3560.3557,482.7823
202,3691.1216,336.0822,3264.0325,538.0537,3651.1086,598.447,3558.9358,482.7417
203,3705.8533,330.9792,3251.1755,540.6354,3635.106,617.4159,3561.2249,498.7011
204,3690.6011,339.7625,3257.5334,526.672,3646.8074,614.3619,3558.7505,500.6126
205,3672.1543,334.0348,3257.0662,514.8038,3646.7012,625.1838,3565.8567,492.9964
206,3691.2974,339.4974,3277.1389,495.7487,3649.4875,622.482,3570.0291,513.918
207,3691.5759,326.8843,3264.3833,533.8976,3640.7651,584.4301,3574.5986,504.2429
208,3684.8875,333.0623,3276.2585,517.7775,3659.5364,586.5037,3566.0422,492.3404
209,3695.0623,336.7136,3296.1357,514.05,3671.8245,626.6863,3583.2261,493.8315
210,3687.4385,334.8547,3287.9346,510.1526,3669.9641,623.5528,3576.3787,485.9857
211,3693.2817,331.6127,3273.5222,496.9973,3674.8242,645.6848,3571.5554,492.0626
212,3679.0806,348.2835,3272.3086,545.6466,3669.4587,617.3029,3583.8545,469.3898
213,3679.5244,336.3089,3266.0493,513.8112,3671.6006,598.9307,3568.124,472.1258
214,3627.9019,351.5801,3242.7437,516.2668,3616.71,636.2368,3550.6487,484.973
215,3501.6104,390.6051,3160.7803,537.7802,3520.1167,649.0266,3501.0664,536.8058
216,3500.1025,424.8919,3167.5574,553.1251,3584.7112,675.5643,3514.8457,570.1964
217,3486.0679,432.2992,3163.2134,606.2444,3517.2656,661.616,3497.1165,612.4045
218,3498.3557,432.1191,3156.5725,588.4473,3517.1953,695.2027,3497.7468,609.7023
219,3486.5747,427.6559,3166.6912,581.0637,3534.0715,645.2484,3497.2297,616.8754
220,3488.5884,449.2424,3156.6045,602.2397,3506.7209,663.3828,3495.0999,655.4251
221,3492.5032,451.6157,3150.9819,590.2453,3520.9199,725.3619,3507.2205,653.7008
222,3489.6184,449.9229,3159.3701,588.1356,3514.1235,734.41,3494.4353,671.3658
223,3514.5908,454.1458,3200.0811,600.4996,3550.3093,685.5717,3518.0989,691.7042
224,3518.1687,448.2705,3205.4294,616.8557,3564.7205,685.0182,3517.7373,658.3275
225,3519.8457,455.9753,3208.6995,576.9548,3563.5903,691.5151,3530.8796,694.1284
