Hours,cfl-1,cfl-2,cfl-3,cfl-4,cfl-5,cfl-6,cfl-7,cfl-8,ncfl-1,ncfl-2,ncfl-3,ncfl-4,ncfl-5,ncfl-6,ncfl-7,ncfl-8
24.66666667,8502928,4406139,5055355,4090094,6229675,5525366,5840507,5321871,9814355,4813406,6522096,5376907,8905445,5180893,6345803,6724006.5
24.83333333,8493972,4391508,5063969,4081185,6226022,5601925,5817228,5335932,9843000,4811541,6497818.5,5395458,8921335,5100303,6267577,6747745
25,8404405,4364554,5128572,4085672,6224019,5580213,5781278,5321506,9761888,4864725,6420574,5418411,8898221,5087201,6340470,6820012
25.16666667,8412778,4366018,5113990,4079496,6269573,5588501,5785565,5320080,9806657,4835537,6394994,5412308,8878918,5149346,6325556,6857387
25.33333333,8501447,4329666,5106062,4107739,6338055,5643829,5857146,5293828,9782565,4799143,6470244.5,5385849,8754773,5179710,6252650,6811263.5
25.5,8546131,4334978,5199733,4116348,6418345,5684089,5951224,5271962,9643973,4834514,6487148,5331752,8690258,5172214,6303810.5,6850023.5
25.66666667,8525252,4337431,5211756,4129014,6563695,5727381,5955060,5305475,9627564,4850111,6422930.5,5342626,8761547,5115544,6296106.5,6881957
25.83333333,8556324,4305857,5140316,4103143,6552503,5668678,5901485,5341335,9681838,4821785,6370992,5303898,8746276,5099855,6253821.5,6918462.5
26,8284829,4225807,4900536,4043136,6311347,5329893,5613099,5179054,9664625,4840837,6362991,5349729,8702049,5115144,6211677,6961331
26.16666667,8284829,4225807,4900536,4043136,6311347,5353710,5613099,5179054,9553559,4873592,6282374,5404900,8672457,5092279,6205567.5,6859102
26.33333333,8224368,4196363,4898771,4041196,6368342,5334543,5575494,5146336,9617944,4903154,6212926,5431494,8631686,5073223,6276017,6893428
26.5,8175353,4201219,4847143,4015611,6417542,5311371,5566734,5070810,9698781,4911048,6248806,5426900,8579398,5099201,6341867,6955726
26.66666667,8122417,4225265,4765623,3977526,6396563,5234612,5530054,5027747,9600370,4871577,6304288,5380970,8434738,5117788,6317428,6934201.5
26.83333333,7904102,4224643,4661737,3939707,6379839,5165616,5534697,5063683,9587061,4853637,6325461,5378150,8330748,5098262,6325770,6920462.5
27,7775426,4114910,4617589,3924176,6267308,5155910,5435570,5058065,9576077,4825817,6324497,5395548,8314638,5056930,6338866,6926164.5
27.16666667,7717051,4021804,4628560,3922264,6227888,5134435,5323238,5022860,9501150,4839256,6305806.5,5429529,8328290,5058877,6259336,6911037
27.33333333,7787546,4080706,4637891,3963427,6327314,5158367,5328568,5009368,9492318,4854184,6330628,5449253,8330091,5088488,6206254.5,6904606
27.5,7903094,4172390,4639537,3998473,6340653,5155895,5450608,5041022,9616213,4849113,6344617,5512665,8290818,5136275,6166356.5,6954822.5
27.66666667,7976234,4154672,4602007,4023430,6371624,5157693,5450390,5066974,9461744,4855462,6358718.5,5509388,8334110,5111275,6179035,7076068.5
27.83333333,8084763,4156453,4656840,4047353,6502478,5237951,5549869,5095940,9359590,4846360,6358622,5460504,8383302,5050451,6167929,7075688
28,8384478.5,4239473,4859841,4099509,6747198,5436594,5788182,5194572,9293759,4853049,6372213,5452131,8412931,5062176,6136284.5,6994966.5
28.16666667,8470994,4258000,4962961,4132872,6926743,5581555,5913575,5276249,9287495,4846957,6344402.5,5455424,8358748,5102300,6087415,6844798
28.33333333,8447921,4220011,4928081,4137457,6903238,5568568,5883547,5272658,9328792,4769129,6322174,5434666,8308027,5067371,6095614,6773911.5
28.5,8467918,4217230,4916035,4128172,6874627,5503223,5878369,5270650,9288195,4801803,6388317,5425967,8300924,5017899,6072092,6754283
28.66666667,8425285,4214352,4933392,4095985,6902003,5489243,5912261,5248072,9187480,4836772,6461777,5443643,8351575,5061489,6078620,6754290
28.83333333,8430401,4259825,4960137,4084283,6959260,5541543,5929355,5257215,9238488,4794383,6451744,5422983,8356597,5066548,6164789,6790443.5
29,8395019,4259035,4931818,4118302,6974241,5506059,5969719,5249148,9247183,4789428,6378854,5393123,8185193,5093416,6112697,6821744
29.16666667,8236185,4217070,4945291,4163441,6956400,5517806,5944742,5290143,9192316,4784496,6363917,5384589,8224847,5037385,6112597,6756607
29.33333333,7957134,4121124,4834411,4058892,6933748,5436092,5843671,5184769,9143145,4780365,6456727.5,5401192,8319009,5004628,6175172.5,6805671
29.5,7957134,4121124,4834411,4058892,6933748,5436092,5843671,5184769,9330402,4770009,6449011.5,5444872,8374765,5074770,6154216,6889729.5
29.66666667,7283263,3994218,4472869,3970752,6635045,5148471,5433277,5002114,9389388,4775044,6443037.5,5460668,8343558.5,5043630,6115170,6863984
29.83333333,6985009,3896372,4289474,3855146,6465754,4993888,5264987,4828368,9362671,4786525,6435674,5453194,8205019,5015224,6142095,6801575
30,6933021,3863915,4312704,3848781,6406037,5006752,5206929,4839300,9376197,4775868,6483690.5,5506918,8139896,5059562,6135987,6824257
30.16666667,6956452,3856692,4309212,3912433,6355798,4976200,5198771,4812277,9441007,4791319,6507201,5552170,8215766,5028635,6166693,6882072.5
30.33333333,6992604,3880574,4304882,3888829,6339503,5013758,5232548,4790593,9486880,4814563,6475190,5471263,8405772,4998856,6285881.5,6946612
30.5,6967310,3902090,4234277,3880393,6375326,4982841,5197983,4801187,9533654,4769849,6415865.5,5465943,8324660,5010347,6338742,6977429
30.66666667,6995836,3856935,4246175,3885683,6400639,4946468,5160975,4780923,9562236,4734775,6400919,5555710,8147133,4998316,6282199,6907680
30.83333333,6909615,3860306,4291576,3864339,6361749,4973736,5200566,4771415,9500838,4735360,6439925,5573489,8123213.5,5022874,6252056,6739711
31,6854236,3910669,4301257,3888072,6324718,4929248,5194244,4779638,9494421,4755513,6414183,5541527,7944527,5026942,6201610,6533822.5
