B_1,B_3,B_4,T_1,T_3,T_4,G_1,G_3,G_4
6.812693498,3.832278481,3.926136364,13.11145511,5.881329114,7.32224026,4.082817337,3.220727848,3.263798701
6.471362229,3.682753165,3.753246753,14.125387,6.503164557,7.519480519,4.273993808,3.159810127,3.0625
6.763157895,3.688291139,3.619318182,14.86455108,6.163765823,8.19237013,4.299535604,3.035601266,3.081980519
7.005417957,3.806962025,3.642857143,15.8126935,6.913765823,6.900974026,4.205882353,3.024525316,3.57224026
7.176470588,3.588607595,3.920454545,16.24303406,6.946202532,7.4375,3.714396285,3.108386076,2.887175325
7.350619195,3.758702532,3.726461039,16.60835913,6.132120253,7.232954545,3.680340557,2.834651899,3.210227273
7.844427245,3.460443038,3.831980519,17.44427245,6.666139241,6.956168831,3.965170279,3.119462025,3.434253247
7.81501548,3.71835443,3.641233766,18.55108359,5.944620253,7.306006494,6.419504644,2.96835443,3.406655844
7.746130031,3.878164557,3.706168831,17.12229102,5.878164557,7.111201299,4.99380805,3.03085443,3.084415584
7.423374613,4.227848101,4.104707792,17.98993808,6.243670886,6.707792208,4.863003096,3.074367089,3.157467532
7.857585139,4.117088608,3.520292208,16.94891641,6.3125,6.966720779,4.834365325,3.150316456,3.011363636
7.73993808,3.904272152,3.554383117,14.96439628,6.490506329,7.00974026,4.106811146,2.925632911,2.87012987
7.374613003,3.981012658,4.017045455,15.04489164,6.847310127,7.280844156,4.037151703,2.952531646,3.287337662
7.191176471,3.472310127,3.558441558,13.45588235,6.287974684,6.686688312,3.631578947,3.026107595,3.198863636
6.052631579,3.75,3.693993506,12.52167183,6.556962025,7.007305195,3.786377709,2.868670886,3.336850649
6.642414861,3.537183544,3.672077922,11.47910217,6.682753165,6.531655844,3.28250774,3.151107595,3.029220779
5.628482972,3.747626582,3.805194805,10.28637771,6.223101266,6.526785714,3.155572755,3.059335443,3.263798701
5.747678019,3.549050633,3.48538961,8.608359133,6.248417722,7.238636364,3.085913313,2.910601266,3.085227273
5.577399381,3.383702532,3.372564935,7.98374613,6.497626582,7.011363636,3.421052632,3.034810127,3.178571429
4.40247678,3.629746835,3.486201299,7.672600619,6.626582278,8.004058442,3.334365325,3.134493671,3.205357143
3.862229102,3.693037975,3.644480519,7.618421053,6.466772152,6.778409091,3.309597523,2.928006329,3.336850649
3.550309598,3.585443038,3.700487013,7.181888545,6.810917722,7.568181818,3.03250774,3.220727848,3.158279221
3.556501548,4.086234177,3.563311688,7.165634675,5.984177215,7.050324675,3.424148607,3.297468354,3.208603896
3.950464396,3.64556962,3.579545455,7.393962848,5.642405063,7.078733766,3.509287926,2.994462025,3.328733766
3.811145511,3.689873418,4.188311688,6.720588235,6.144778481,7.295454545,3.067337461,2.980221519,3.44724026
3.765479876,3.920094937,4.734577922,7.59752322,6.371044304,6.753246753,3.208978328,3.147943038,3.099025974
3.459752322,3.559335443,4.825487013,7.328173375,6.140031646,7.054383117,3.208978328,3.136075949,3.121753247
3.680340557,3.472310127,4.689935065,8.171826625,6.044303797,7.098214286,3.26625387,3.317246835,3.413961039
4.086687307,3.359968354,4.87012987,6.893188854,6.206487342,7.224837662,3.083591331,3.134493671,3.362824675
3.753869969,3.742879747,5.367694805,7.42879257,6.212025316,7.469155844,3.411764706,3.259493671,3.225649351
