B_1,B_2,B_3,B_4,B_5,B_6,T_1,T_2,T_3,T_4,T_5,T_6,G_1,G_2,G_3,G_4,G_5,G_6,
4.52964881980426,7.005113636363636,3.9808333333333334,4.2035242290748895,3.4486301369863015,5.004569687738004,6.043177892918825,9.059659090909092,6.784166666666667,6.91806167400881,7.023972602739726,6.062452399086062,3.0500863557858375,3.3164772727272727,3.3633333333333333,3.3788546255506606,3.216609589041096,3.25971058644326,
4.18307426597582,7.875568181818182,3.6483333333333334,4.28193832599119,3.593321917808219,5.093678598629094,5.981001727115717,9.378409090909091,6.779166666666667,7.415859030837004,6.515410958904109,6.605483625285605,3.103051237766264,3.5579545454545456,3.2266666666666666,3.2872246696035243,3.0017123287671232,3.089108910891089,
3.7731721358664365,8.298295454545455,3.4908333333333332,4.572687224669603,3.800513698630137,5.148514851485149,6.776626367299943,9.363636363636363,6.57,7.4801762114537445,7.321061643835616,6.53998476770754,3.27230857800806,3.40625,3.129166666666667,3.2801762114537443,3.006849315068493,3.249047981721249,
4.048934945308003,9.378977272727273,3.3958333333333335,4.722466960352423,3.5976027397260273,4.3792840822543795,6.322970639032815,9.545454545454545,6.574166666666667,6.616740088105727,7.201198630136986,6.514851485148514,3.1088082901554404,3.390340909090909,2.8775,3.4784140969162998,2.9863013698630136,3.0746382330540745,
3.8295912492803685,8.976704545454545,3.6133333333333333,4.2387665198237885,3.191780821917808,5.102817974105103,6.359815774323546,10.019886363636363,6.341666666666667,6.938325991189427,7.297089041095891,6.975628332063976,3.1917098445595853,3.625,3.3208333333333333,3.2969162995594714,3.274828767123288,3.293983244478294,
3.865860679332182,9.873863636363636,3.4766666666666666,4.503083700440529,3.5470890410958904,4.8964204112718965,6.248128957973518,11.3,6.9525,8.009691629955947,7.548801369863014,6.167555217060167,2.92573402417962,3.346590909090909,3.0633333333333335,3.3991189427312776,3.2585616438356166,3.1256664127951255,
4.047207829591249,10.097727272727273,3.549166666666667,4.279295154185022,3.8013698630136985,5.494287890327494,6.535981577432355,11.852272727272727,7.125,7.28193832599119,7.405821917808219,6.192688499619193,3.135866436384571,3.5022727272727274,3.430833333333333,3.2440528634361234,3.093321917808219,3.3747143945163747,
3.6649395509499136,9.6,3.6783333333333332,4.770044052863436,3.658390410958904,5.390708301599391,5.997697179044329,12.118181818181819,6.6466666666666665,7.748898678414097,6.921232876712328,6.347296268088347,3.038572251007484,3.703409090909091,3.2375,3.1911894273127754,3.1489726027397262,3.17974105102818,
3.6056419113413933,9.855113636363637,3.7041666666666666,4.103964757709251,3.5659246575342465,4.745620715917745,6.37881404720783,12.638068181818182,7.2875,6.906607929515419,6.816780821917808,6.229246001523229,3.159470351180196,3.7,3.2283333333333335,3.3656387665198237,3.264554794520548,3.5255140898705255,
3.694300518134715,9.35284090909091,3.7016666666666667,4.304845814977973,3.8279109589041096,5.192688499619193,6.267127230857801,12.888068181818182,7.368333333333333,7.311013215859031,6.523972602739726,5.989337395277989,2.853195164075993,3.5482954545454546,3.4025,3.3268722466960354,3.098458904109589,3.133282559025133,
3.791594703511802,9.044886363636364,3.8308333333333335,4.60704845814978,3.901541095890411,5.086062452399086,6.1335636154289,12.447159090909091,7.005833333333333,6.881057268722467,7.160102739726027,6.323686214775324,2.9372481289579735,3.6653409090909093,3.53,3.5215859030837002,3.106164383561644,3.0335110434120334,
3.643062751871042,9.423863636363636,3.7908333333333335,4.818502202643172,3.7294520547945207,5.0152322924600155,6.15601611974669,12.746022727272727,7.0275,7.371806167400881,7.061643835616438,6.223153084539224,3.0892343120322394,3.6767045454545455,3.3308333333333335,3.60352422907489,3.3801369863013697,2.977913175932978,
3.7271157167530227,9.764204545454545,3.993333333333333,5.1629955947136565,3.6823630136986303,4.677075399847677,6.601036269430052,12.819886363636364,6.864166666666667,7.336563876651982,6.6438356164383565,6.289413556740289,3.082901554404145,3.4625,3.7316666666666665,3.150660792951542,3.3972602739726026,3.3015993907083017,
3.7184801381692574,9.565909090909091,3.796666666666667,5.158590308370044,4.010273972602739,4.493526275704493,6.080598733448475,13.00625,7.371666666666667,6.902202643171806,6.962328767123288,5.811119573495811,2.953943580886586,3.415909090909091,3.3666666666666667,3.1295154185022027,3.175513698630137,3.1058644325971057,
3.558434081750144,9.276704545454546,3.515,5.104845814977973,3.6523972602739727,4.591012947448591,6.225676453655728,12.625568181818181,7.045,7.479295154185022,7.109589041095891,5.76009139375476,3.0086355785837653,3.4732954545454544,3.3433333333333333,3.300440528634361,3.0864726027397262,2.987814166031988,
3.552677029360967,8.354545454545455,3.8991666666666664,5.110132158590308,3.8544520547945207,4.511043412033511,6.6355785837651124,13.129545454545454,7.279166666666667,7.666079295154185,7.315068493150685,6.297029702970297,3.1882556131260795,4.3329545454545455,3.046666666666667,3.163876651982379,2.975171232876712,3.1104341203351105,
3.7524467472654,8.166477272727272,3.8441666666666667,6.3691629955947135,3.684931506849315,4.455445544554456,5.86873920552677,12.809090909090909,7.4375,8.290748898678414,6.991438356164384,5.936024371667936,3.0109383995394357,3.4142045454545453,3.5408333333333335,3.0951541850220265,3.578767123287671,3.0213252094440213,
3.533103051237766,8.564772727272727,3.785,6.116299559471366,4.404109589041096,4.169078446306169,6.054116292458262,11.930113636363636,7.08,8.406167400881058,7.492294520547945,6.5971058644325975,3.305699481865285,3.6073863636363637,3.3666666666666667,3.3938325991189426,3.1404109589041096,3.0517897943640517,
3.9217040875071962,8.665909090909091,3.361666666666667,5.893392070484581,3.8184931506849313,4.127951256664128,6.114565342544617,12.153977272727273,7.489166666666667,8.957709251101322,7.267979452054795,6.367098248286367,3.421991940126655,3.697159090909091,3.4941666666666666,3.4537444933920707,3.271404109589041,3.1774562071591776,
