B_1,B_2,T_1,T_2,G_1,G_2,
8.10567470956211,6.189051094890511,9.89544235924933,8.155109489051094,5.328194816800715,3.645985401459854,
8.193699731903486,6.107299270072993,10.268319928507596,7.925912408759124,5.337578194816801,3.6076642335766422,
8.254021447721179,6.36058394160584,10.472743521000893,7.538321167883212,5.092493297587131,3.4361313868613137,
7.653932082216264,5.853649635036496,10.698838248436104,7.4,5.159964253798034,3.5832116788321167,
8.359919571045577,6.063503649635036,10.23704200178731,8.309489051094891,5.209338695263628,3.733941605839416,
7.940348525469169,6.264598540145985,10.783288650580875,8.013503649635037,4.952636282394995,3.5941605839416058,
7.8503127792672025,6.226642335766424,10.64745308310992,7.766788321167883,5.345397676496872,3.423357664233577,
7.666666666666667,6.4284671532846716,9.768096514745308,7.673722627737226,3.9090705987488827,3.463868613138686,
8.49709562109026,6.374817518248175,10.573056300268096,7.962408759124088,4.340035746201966,4.0036496350364965,
8.547363717605004,5.656204379562044,10.207551385165326,8.552189781021898,4.594057193923145,3.1467153284671534,
8.057640750670242,5.96021897810219,10.484361036639857,11.352919708029198,5.140080428954423,3.375912408759124,
8.013181411974978,5.658029197080292,10.24195710455764,12.030656934306569,4.8503127792672025,3.2496350364963504,
7.8554512957998215,6.263868613138686,10.66621983914209,12.314963503649635,4.6986148346738155,3.2087591240875915,
7.98413762287757,6.0445255474452555,9.861930294906166,12.97116788321168,5.057640750670242,3.383211678832117,
8.242180518319929,6.282846715328467,10.128016085790884,13.057664233576642,5.092716711349419,3.1985401459854015,
7.969615728328865,6.3288321167883215,10.682529043789097,9.921167883211679,5.315907059874888,3.8572992700729927,
7.955764075067024,5.902919708029197,11.61952636282395,9.197080291970803,5.037310098302055,3.8043795620437955,
8.039097408400357,6.147810218978102,10.531501340482574,9.344525547445256,5.165996425379803,4.048540145985402,
7.449061662198392,6.141240875912409,10.79579982126899,8.766423357664234,5.084897229669347,4.23029197080292,
7.776586237712243,6.228832116788321,11.05361930294906,8.96058394160584,5.135835567470957,4.092335766423358,
7.958668453976765,6.078467153284672,10.620196604110813,8.76970802919708,4.922475424486148,3.625182481751825,
7.931411974977658,5.535766423357664,10.447050938337801,12.576277372262775,4.821492403932083,3.4364963503649637,
7.591599642537981,5.697080291970803,9.69012511170688,13.474087591240876,4.695040214477212,3.2313868613138688,
8.102100089365505,5.48065693430657,9.759383378016086,13.809124087591242,4.7281054512958,3.4394160583941606,
7.622430741733691,5.510948905109489,10.731233243967829,14.193065693430658,4.442359249329758,3.1485401459854017,
7.441465594280608,5.428102189781022,10.01184092940125,14.690510948905109,4.988605898123325,3.358029197080292,
7.241733690795353,5.643795620437956,9.316800714924039,14.665693430656935,4.6175156389633605,3.271897810218978,
7.522117962466488,5.634306569343066,10.32260947274352,14.663503649635036,4.508713136729223,3.071897810218978,
7.33467381590706,5.28978102189781,9.676496872207329,13.343430656934306,4.196157283288651,3.1572992700729925,
7.748212689901698,5.326642335766423,9.976764968722073,13.798175182481751,4.195933869526363,3.1452554744525547,
7.0382037533512065,5.542335766423357,9.67716711349419,11.274087591240876,4.2560321715817695,3.4686131386861314,
7.608355674709562,5.555839416058395,9.838695263628239,11.946715328467153,4.329088471849866,3.417883211678832,
7.431635388739946,5.478467153284671,9.48011617515639,11.86167883211679,4.179848078641644,3.3186131386861315,
7.794235924932976,5.33978102189781,9.346291331546023,12.392700729927007,4.632707774798928,3.1930656934306567,
7.445040214477212,5.161313868613139,9.359919571045577,13.264233576642336,3.9792225201072386,3.232116788321168,
7.308534405719392,5.827372262773722,9.282171581769436,9.482116788321168,4.514298480786416,4.179197080291971,
7.60656836461126,5.622262773722627,9.784405719392314,8.647445255474453,4.187890974084004,3.8627737226277374,
7.861260053619303,6.173357664233577,9.758266309204647,9.01970802919708,4.033735478105451,3.2937956204379564,
7.020777479892762,6.111313868613139,10.380250223413762,8.986131386861313,3.908847184986595,3.417153284671533,
7.022341376228776,5.675547445255474,9.92024128686327,8.646715328467153,3.859472743521001,3.3354014598540145,
7.3203753351206435,5.781386861313869,9.910857908847184,8.610583941605839,3.8413762287756925,3.3021897810218976,
7.293342269883825,5.575912408759124,9.851206434316353,9.302554744525548,4.060545129579982,3.316058394160584,
7.0813226094727435,5.418613138686132,9.119302949061662,8.649270072992701,4.132260947274352,3.5744525547445254,
7.022564789991064,5.244160583941606,9.057417336907953,11.721897810218978,3.925603217158177,3.1908759124087593,
6.986595174262734,4.935766423357665,9.146559428060769,13.044890510948905,3.9868185880250224,3.171897810218978,
7.4146559428060765,5.169343065693431,9.49195710455764,13.25036496350365,4.04088471849866,3.1551094890510947,
7.242180518319929,5.354014598540146,8.77390527256479,10.021897810218977,4.018766756032171,3.5003649635036496,
7.206881143878463,5.688686131386861,9.075290437890974,9.247810218978103,3.7180518319928506,3.2843065693430655,
7.063002680965147,5.632116788321168,8.699731903485254,9.496350364963504,3.725201072386059,3.4635036496350367,
7.699508489722967,5.741605839416058,9.086907953529938,9.104744525547446,4.038427167113494,3.3032846715328468,
6.960008936550492,5.824452554744526,9.633824843610366,9.535766423357664,3.520107238605898,3.4215328467153285,
6.7117962466487935,5.5102189781021895,8.830205540661305,9.426642335766424,3.691912421805183,3.3645985401459853,
6.639857015192136,5.432846715328467,8.781277926720286,8.97080291970803,3.54982126899017,3.5485401459854016,
6.539544235924933,5.819708029197081,8.693923145665773,8.682481751824817,3.7506702412868633,3.3434306569343066,
6.7790437890974085,5.555474452554744,8.589812332439678,11.265693430656935,3.5116175156389633,3.3850364963503647,
6.148793565683646,5.066058394160584,8.354110813226095,11.777007299270073,3.694816800714924,3.3649635036496353,
6.027033065236819,5.335766423357664,8.493297587131368,13.136131386861313,3.322386058981233,3.2686131386861312,
6.184539767649687,5.1507299270072995,8.393878462913316,13.479197080291971,3.35656836461126,3.146350364963504,
6.246872207327971,5.268978102189781,8.067694369973191,13.7014598540146,3.4588918677390526,3.4186131386861316,
