B_1,T_1,G_1,
5.691714836223507,15.048651252408478,5.808766859344894,
5.883911368015414,15.786608863198458,5.357899807321773,
5.648843930635838,16.371868978805395,5.347784200385356,
5.93111753371869,15.664258188824663,5.618497109826589,
6.200385356454721,15.40606936416185,5.551059730250482,
5.631984585741812,15.16233140655106,5.26878612716763,
6.222543352601156,15.222543352601155,5.223506743737958,
6.56888246628131,15.71290944123314,5.709055876685935,
5.858863198458574,16.173892100192678,5.603564547206166,
6.1772639691714835,15.584296724470136,6.601156069364162,
6.14354527938343,16.46194605009634,6.694123314065511,
6.027938342967245,15.19267822736031,4.872350674373796,
6.211464354527938,15.054913294797688,4.823217726396917,
6.210019267822736,14.8747591522158,5.325626204238921,
6.421483622350674,16.220134874759154,6.583333333333333,
6.282273603082851,15.784200385356455,4.817919075144508,
6.6859344894026975,14.011078998073218,5.422447013487476,
5.855009633911368,14.561175337186897,6.208574181117534,
6.265895953757226,15.380539499036608,5.298169556840077,
6.384393063583815,15.664258188824663,4.946050096339114,
6.103082851637765,15.667630057803468,5.440751445086705,
6.796242774566474,16.248073217726397,6.34393063583815,
5.773121387283237,14.629576107899807,6.2601156069364166,
6.307321772639692,14.617533718689788,5.922447013487476,
5.959537572254336,14.210019267822736,4.95616570327553,
5.666184971098266,14.124277456647398,4.934007707129094,
5.495664739884393,13.189306358381502,5.15655105973025,
5.916666666666667,14.564065510597302,4.4985549132947975,
5.780346820809249,14.213872832369942,5.14980732177264,
5.8882466281310215,15.327552986512524,4.831406551059731,
6.140655105973025,14.817437379576107,4.388728323699422,
5.6146435452793835,14.656551059730251,5.119460500963391,
5.97495183044316,15.717726396917149,5.151734104046243,
6.309248554913295,15.065992292870906,5.255780346820809,
6.026974951830443,14.984585741811175,4.428709055876686,
6.5761078998073215,16.703275529865124,4.695086705202312,
6.613198458574181,17.04865125240848,4.050578034682081,
5.871387283236994,15.126204238921002,4.7755298651252405,
5.861271676300578,16.917630057803468,3.996146435452794,
5.863680154142582,17.193159922928707,4.66907514450867,
6.307803468208093,16.08092485549133,4.569364161849711,
6.068400770712909,14.93111753371869,4.862235067437379,
6.013969171483622,15.856936416184972,4.222543352601156,
5.545761078998074,16.94460500963391,4.386319845857418,
6.821290944123314,15.94460500963391,4.250963391136802,
6.8126204238921,15.983622350674374,4.23121387283237,
5.6382466281310215,15.455202312138729,4.606936416184971,
6.488439306358382,15.711946050096339,4.9210019267822736,
5.71868978805395,15.877167630057803,4.59393063583815,
6.055876685934489,16.622350674373795,5.09393063583815,
6.1117533718689785,15.840558766859345,4.5997109826589595,
6.736030828516378,15.57562620423892,4.8106936416184976,
5.859826589595376,15.516859344894026,5.065028901734104,
5.786608863198459,14.802504816955684,5.257225433526012,
6.124277456647399,15.144508670520231,4.565510597302505,
5.851156069364162,15.48169556840077,4.661849710982659,
6.137764932562621,14.79335260115607,4.460019267822736,
6.097302504816955,15.116570327552987,4.570809248554913,
6.232658959537572,14.443641618497109,4.788053949903661,
5.418593448940269,15.164258188824663,5.316473988439307,
6.292870905587669,16.70134874759152,5.5847784200385355,
6.554913294797688,15.859344894026975,5.308285163776493,
5.776974951830443,15.660404624277456,5.064547206165703,
5.541425818882466,16.17003853564547,4.711464354527938,
5.803468208092486,15.46242774566474,5.3140655105973025,
