T1,T2,T3,T4,T5,T6,T7
5.045298559,5.048822516,4.794987147,4.894026975,4.652414885,4.420673077,6.355760369
4.920384351,5.403790925,5.44344473,5.408959538,4.612826603,4.855769231,6.469124424
5.318462594,5.225732338,5.190874036,5.216763006,4.653998416,4.640625,6.043317972
4.635552505,5.045950603,5.344473008,5.274566474,4.45922407,4.731971154,5.643317972
4.45435827,5.076392878,4.981362468,4.938824663,4.703879652,4.663461538,6.361290323
5.069320522,5.176335439,5.389460154,5.439306358,4.836896279,4.683894231,5.885714286
5.13726836,4.84606548,5.956298201,5.814547206,5.323832146,5.175480769,5.976036866
5.392587509,5.360712234,5.615681234,5.539017341,4.679334917,4.298076923,6.143778802
4.998627316,5.15393452,5.219794344,5.19460501,4.627078385,4.876201923,6.376036866
4.764584763,5.067202757,5.300128535,5.376685934,4.578780681,5.299278846,6.113364055
4.915579959,5.284319357,5.758997429,5.847302505,4.695961995,4.456730769,5.894009217
4.652024708,5.267087881,5.343830334,5.41522158,4.855106888,4.471153846,5.379723502
4.978723404,4.63584147,5.393958869,5.502408478,4.948535234,5.335336538,5.965898618
4.859986273,4.901780586,4.893958869,4.971579961,4.853523357,4.788461538,5.767741935
4.754289636,4.985066054,5.281491003,5.313102119,5.033254157,4.763221154,6.448847926
4.509265614,5.036760482,5.758354756,5.795761079,4.920823436,4.604567308,6.276497696
5.505147563,5.080413555,5.28470437,5.244219653,4.603325416,4.543269231,6.340092166
5.222374743,4.928202183,5.469151671,5.553468208,5.011084719,5.140625,5.371428571
4.851750172,5.143595635,5.335475578,5.25433526,5.048297704,4.911057692,5.688479263
5,4.883400345,5.440874036,5.442678227,4.918448139,5.431490385,5.902304147
4.615648593,5.456634118,5.805912596,5.841040462,5.439429929,4.844951923,5.941013825
5.716540837,5.085582998,6.131105398,6.146917148,4.92557403,4.256009615,6.569585253
4.77487989,5.065479609,5.641388175,5.677745665,4.612826603,4.637019231,5.734562212
4.426218257,4.854681218,5.944730077,5.963391137,4.876484561,4.674278846,5.98156682
5.140700069,4.622630672,5.850899743,5.857899807,4.661916073,5.131009615,5.746543779
5.53054221,5.354394026,5.85218509,5.879094412,4.665874901,4.393028846,5.44516129
4.695950583,5.379666858,5.80655527,5.854046243,4.652414885,4.721153846,5.859907834
4.768016472,4.7105112,5.868251928,5.849229287,4.748218527,4.646634615,5.912442396
4.447494852,5.039632395,5.581619537,5.687861272,5.040380048,4.710336538,5.680184332
4.905284832,5.608845491,6.01285347,6.021676301,5.081551861,4.199519231,5.794470046
